note,fhir
"Patient presented with persistent cough and shortness of breath. After a series of tests, including a chest X-ray, the patient was diagnosed with pneumonia.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '233604007', 'display': 'Pneumonia', 'system': 'http://snomed.info/sct'}], 'text': 'pneumonia'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"The individual came in complaining of severe headache and blurred vision. After conducting an MRI, the patient was diagnosed with intracranial hypertension.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '68267002', 'display': 'Benign intracranial hypertension', 'system': 'http://snomed.info/sct'}], 'text': 'intracranial hypertension'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Complaints of joint pain and stiffness, particularly in the morning, led to a diagnosis of rheumatoid arthritis after blood tests and joint fluid analysis.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '69896004', 'display': 'Rheumatoid arthritis', 'system': 'http://snomed.info/sct'}], 'text': 'rheumatoid arthritis'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
Patient experienced sudden chest pain and difficulty breathing. An ECG and blood tests led to a diagnosis of myocardial infarction.,"{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '22298006', 'display': 'Myocardial infarction', 'system': 'http://snomed.info/sct'}], 'text': 'myocardial infarction'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Excessive thirst, frequent urination, and unexplained weight loss were key symptoms leading to a diagnosis of diabetes Type 1.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '46635009', 'display': 'Diabetes mellitus type 1 (disorder)', 'system': 'http://snomed.info/sct'}], 'text': 'diabetes Type 1'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Chronic fatigue and muscle weakness, coupled with skin darkening, resulted in a diagnosis of Addison's disease after blood tests indicated low cortisol levels.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '363732003', 'display': ""Addison's disease"", 'system': 'http://snomed.info/sct'}], 'text': ""Addison's disease""}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Patient reported severe abdominal pain and bloody stools. A colonoscopy revealed inflammation and ulcers, leading to a diagnosis of ulcerative colitis.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '64766004', 'display': 'Ulcerative colitis', 'system': 'http://snomed.info/sct'}], 'text': 'ulcerative colitis'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Recurring episodes of extreme anxiety, heart palpitations, and excessive sweating led to a diagnosis of pheochromocytoma after blood tests and imaging studies.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '302835009', 'display': 'Pheochromocytoma (disorder)', 'system': 'http://snomed.info/sct'}], 'text': 'pheochromocytoma'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
Patient complained of blurred vision and seeing 'halos' around lights. An eye examination indicating increased pressure led to a diagnosis of glaucoma.,"{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '23986001', 'display': 'Glaucoma', 'system': 'http://snomed.info/sct'}], 'text': 'glaucoma'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Experiencing tremors, slowed movement, and balance issues, the patient was diagnosed with Parkinson's disease after a neurological examination.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '49049000', 'display': ""Parkinson's disease"", 'system': 'http://snomed.info/sct'}], 'text': ""Parkinson's disease""}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Severe back pain, especially after lifting a heavy object, led to a diagnosis of herniated disc following an MRI of the spine.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '89355001', 'display': 'Discectomy for intervertebral herniated disc, nucleus pulposus', 'system': 'http://snomed.info/sct'}], 'text': 'herniated disc'}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
"Patient exhibited memory loss and confusion, which, after cognitive tests and brain imaging, resulted in a diagnosis of Alzheimer's disease.","{'clinicalStatus': {'text': 'active'}, 'code': {'coding': [{'code': '26929004', 'display': ""Alzheimer's disease"", 'system': 'http://snomed.info/sct'}], 'text': ""Alzheimer's disease""}, 'subject': {'reference': 'Patient/1'}, 'resourceType': 'Condition'}"
